Business Name,TPIN,Registration Number,Province
Thomas Ltd,10927379326,REG0001,Copperbelt
"Graves, Gonzalez and Hernandez",07673783730,REG0002,North-Western
"Massey, Ortiz and Davis",04853121460,REG0003,Lusaka
"Riley, Pittman and Moore",06489153046,REG0004,Northern
"Shelton, Walter and Gonzalez",03858302155,REG0005,Luapula
Duran Group,03468269161,REG0006,Luapula
"Simpson, Morrow and Norris",07414696116,REG0007,North-Western
"Phelps, Chavez and Smith",06222545053,REG0008,Northern
"Scott, Booker and Little",05232223065,REG0009,Muchinga
"Carney, Harrington and Bean",03497843122,REG0010,Luapula
Pruitt LLC,10867978783,REG0011,Copperbelt
Atkins-Watkins,09297620664,REG0012,Western
"Hansen, Schneider and Ortiz",03674030523,REG0013,Luapula
Marquez-Valdez,03909687803,REG0014,Luapula
Cooper-Flores,03780461112,REG0015,Luapula
Brown-Murillo,10407636049,REG0016,Copperbelt
"Gibbs, Guzman and Clark",03597616279,REG0017,Luapula
"Andersen, Frey and Hansen",09375050488,REG0018,Western
Martin Inc,05191858175,REG0019,Muchinga
Page Inc,06701871750,REG0020,Northern
Beck-Chandler,02884556591,REG0021,Eastern
"Nichols, Aguirre and Phillips",02879589412,REG0022,Eastern
Jackson PLC,05743661065,REG0023,Muchinga
"Thompson, Anderson and Haney",03653982373,REG0024,Luapula
Barber-Wall,02833783504,REG0025,Eastern
Butler Inc,05389959213,REG0026,Muchinga
"Osborne, Singleton and Brown",01540688523,REG0027,Central
"Holland, Lee and Cox",09882235341,REG0028,Western
"Kelly, Stone and Wright",02359554839,REG0029,Eastern
Higgins PLC,09626699200,REG0030,Western
Ford PLC,03316867724,REG0031,Luapula
Figueroa LLC,03600124771,REG0032,Luapula
Stephens-Miller,03510626751,REG0033,Luapula
"Jones, Richards and Mullins",05184565681,REG0034,Muchinga
Hart LLC,06643379491,REG0035,Northern
"Armstrong, Cooper and Martin",06675115529,REG0036,Northern
Salazar-Obrien,04369097146,REG0037,Lusaka
Dean and Sons,02538186439,REG0038,Eastern
Miller Group,04716029341,REG0039,Lusaka
Lopez LLC,04273803522,REG0040,Lusaka
Hobbs PLC,04751649543,REG0041,Lusaka
Brown Group,03118689406,REG0042,Luapula
Lewis-Schmidt,05492636251,REG0043,Muchinga
"Dunn, Moreno and Ward",08542286825,REG0044,Southern
"Reese, Davis and Reid",01891080363,REG0045,Central
Wright Inc,01333883455,REG0046,Central
"Kelly, Lucas and Garcia",06176876754,REG0047,Northern
Orozco Inc,08942627222,REG0048,Southern
Dawson-Jackson,06989712873,REG0049,Northern
Morse Inc,06839467602,REG0050,Northern
Garcia-Davies,09846768865,REG0051,Western
Nguyen Group,10798891897,REG0052,Copperbelt
"Bailey, Barber and Jones",05449857335,REG0053,Muchinga
Brewer PLC,09969433416,REG0054,Western
Skinner-Morales,02453407186,REG0055,Eastern
Hernandez-Benjamin,06720751158,REG0056,Northern
"Richardson, Smith and Love",09800533449,REG0057,Western
Graves-Hernandez,03201174747,REG0058,Luapula
"Poole, Clark and Howard",01441389610,REG0059,Central
Morrow-Maldonado,10378247967,REG0060,Copperbelt
Roberts Group,07864519555,REG0061,North-Western
Johnston-Anderson,06629011341,REG0062,Northern
"King, Perez and Berger",10826452541,REG0063,Copperbelt
Robinson-Wilson,09914647120,REG0064,Western
"Thompson, Benton and Anthony",05776338804,REG0065,Muchinga
Vargas and Sons,03960144829,REG0066,Luapula
"Andrews, Miller and Orr",03269938390,REG0067,Luapula
"Santos, Miller and Smith",03801552305,REG0068,Luapula
"Ramos, Greene and Torres",02726723080,REG0069,Eastern
Elliott-Merritt,09713054676,REG0070,Western
"Hughes, Brown and Nichols",02296531588,REG0071,Eastern
Ray-Taylor,01513780571,REG0072,Central
Hamilton-Wall,10892614567,REG0073,Copperbelt
Fisher Inc,05599154939,REG0074,Muchinga
"Coleman, Hamilton and Reed",02992900636,REG0075,Eastern
Ellis PLC,06912274085,REG0076,Northern
Morris Inc,10522647475,REG0077,Copperbelt
Abbott LLC,06850647756,REG0078,Northern
"Chapman, Chavez and Barajas",04386745177,REG0079,Lusaka
"Ortiz, Mcmahon and Davenport",02554236482,REG0080,Eastern
"Shaffer, Howard and Escobar",06747661549,REG0081,Northern
Brown Group,02888651876,REG0082,Eastern
"Martinez, Thomas and Lowe",04526006713,REG0083,Lusaka
"Young, Crosby and Bush",09497125254,REG0084,Western
Patterson Inc,05565197929,REG0085,Muchinga
"Mitchell, Bennett and Blevins",09620486460,REG0086,Western
Mercer-Perry,06911582611,REG0087,Northern
Smith-Thompson,03617319595,REG0088,Luapula
Mitchell-Washington,05495803182,REG0089,Muchinga
Morris and Sons,09218480732,REG0090,Western
Roach-Duran,08960740562,REG0091,Southern
"Cummings, Simmons and Gardner",06664231307,REG0092,Northern
"Cruz, Brown and Moore",03885050042,REG0093,Luapula
"Schmidt, Lin and Mills",07870842713,REG0094,North-Western
Rodriguez-Kidd,09241649329,REG0095,Western
"Zuniga, Goodman and Wang",08521482273,REG0096,Southern
Wilson LLC,04924542726,REG0097,Lusaka
"Shelton, Harmon and Evans",01596510121,REG0098,Central
Matthews-Roberts,07682540617,REG0099,North-Western
"Sanchez, Harris and Owens",03561294420,REG0100,Luapula
Lee Group,04932338942,REG0101,Lusaka
"Crosby, Gentry and Guerra",01104627669,REG0102,Central
Allen-Ross,02324689694,REG0103,Eastern
Manning PLC,10397527598,REG0104,Copperbelt
"Edwards, Williams and Cole",06870988994,REG0105,Northern
"King, Saunders and Chapman",04570613411,REG0106,Lusaka
Mercado-Wiley,02112301363,REG0107,Eastern
Bell-Martin,08323436933,REG0108,Southern
Stevenson-Rosales,03847315277,REG0109,Luapula
Miller PLC,09775870179,REG0110,Western
Cross Inc,04404289826,REG0111,Lusaka
"Wolfe, Kemp and Zhang",03365455327,REG0112,Luapula
Douglas Inc,03809387701,REG0113,Luapula
"Farmer, Moore and Burch",06857190923,REG0114,Northern
Reid PLC,02894997210,REG0115,Eastern
Snyder-Graves,08636313369,REG0116,Southern
Calderon Inc,06699092625,REG0117,Northern
Santiago-Lynch,10652674410,REG0118,Copperbelt
